user_id,item_id,ratings
652,229,4
750,569,5
735,260,5
596,880,4
1049,172,3
1148,224,1
435,283,5
884,403,5
1307,871,5
404,499,5
86,434,5
1121,533,5
976,504,3
1401,505,4
96,761,4
1340,57,4
284,95,5
1636,922,5
1480,895,5
357,449,3
97,361,4
1631,627,5
399,862,4
1163,264,4
1183,167,4
633,735,4
151,489,1
1074,10,5
946,121,5
1328,361,5
725,267,4
512,821,4
773,550,5
851,351,2
284,486,5
918,941,4
175,804,5
237,728,5
1485,772,4
20,449,5
1385,581,5
1674,285,5
956,866,4
30,239,4
758,256,3
1165,387,5
298,30,5
1346,905,1
450,907,5
567,229,4
954,871,5
836,38,3
513,71,5
856,729,4
1639,906,5
927,225,3
1456,452,1
1675,167,2
301,182,5
356,53,5
1172,609,5
1491,910,4
965,698,4
1361,825,4
1259,58,5
337,187,1
1287,590,3
177,337,5
132,96,2
1466,805,3
1541,193,5
1138,439,5
758,552,3
1436,686,5
362,759,5
1457,37,4
959,178,5
1319,622,4
1240,845,5
1275,255,5
1284,227,1
1190,445,5
1121,917,4
787,504,3
1438,360,2
1273,914,3
776,272,5
1495,258,3
471,545,5
1623,868,4
1313,729,4
1265,879,4
729,403,4
880,856,4
1140,588,4
1449,196,2
174,874,4
640,897,5
725,366,4
1466,809,1
97,612,5
207,167,5
703,139,5
932,306,5
586,93,5
430,418,4
10,114,5
1087,809,2
1600,796,4
929,959,5
256,387,5
1057,343,5
790,263,4
123,346,1
1098,92,4
1288,696,4
70,843,4
603,441,5
1343,235,4
250,426,5
1590,258,3
1527,673,4
404,158,5
4,781,5
769,196,4
428,167,4
361,787,4
410,931,4
0,901,1
1064,577,5
510,867,5
452,586,4
1333,581,5
342,348,4
403,407,5
1582,527,5
984,859,4
1539,597,5
517,167,3
482,319,5
251,749,5
884,470,4
1001,771,5
603,121,5
393,270,5
963,669,4
926,185,5
1327,918,4
658,941,4
460,635,5
354,722,3
942,81,4
1614,788,4
915,514,3
33,897,4
1437,208,4
1598,441,5
752,255,3
1264,870,3
364,511,5
208,403,5
931,441,5
505,858,4
471,569,5
1354,814,5
515,747,5
841,577,5
562,498,5
1300,189,2
248,319,5
430,821,3
1379,248,5
467,642,5
588,912,5
211,805,3
1053,685,4
165,872,3
1383,212,5
10,194,5
324,722,3
836,624,4
1550,796,5
596,853,4
657,167,4
1202,944,5
418,510,5
421,585,4
776,351,5
446,597,4
757,729,3
480,869,4
6,520,5
1516,196,2
870,550,5
268,115,5
1663,764,5
689,534,5
1479,459,2
1159,503,5
1576,126,5
688,880,4
422,912,5
967,480,5
803,178,5
600,343,5
139,849,5
352,932,1
818,304,4
278,209,5
1653,907,5
139,658,5
1591,78,5
551,908,4
1133,637,4
1118,548,4
1048,58,5
368,92,5
808,32,5
630,553,4
378,622,5
943,762,4
143,406,5
738,857,5
1350,928,3
1517,755,5
1536,470,3
1050,76,5
378,196,5
1060,610,5
384,848,5
1020,790,5
618,601,1
652,524,1
434,267,5
902,579,4
849,58,4
951,484,4
1290,917,2
1207,339,5
1597,288,5
339,914,2
463,697,5
1446,714,5
1270,373,4
860,809,3
278,68,5
747,575,5
774,298,3
874,481,4
1624,182,5
1178,933,4
1683,586,5
1069,472,5
1421,618,5
1420,794,5
236,852,4
277,694,2
176,910,4
779,729,3
1662,53,1
620,477,3
579,795,3
818,441,2
306,884,5
433,790,5
509,302,4
1684,831,5
517,612,4
951,191,5
1362,785,5
1005,856,4
1361,309,2
322,380,5
552,867,4
576,822,5
908,925,3
1109,795,5
954,404,3
1315,798,4
1442,856,4
640,895,5
674,914,5
1465,416,4
953,788,4
831,255,5
860,567,5
1194,0,4
27,705,4
127,145,5
979,526,5
1155,915,5
198,45,4
977,509,1
17,237,5
273,687,5
1448,834,2
1127,644,5
218,81,4
242,779,3
1012,847,5
804,644,4
1415,577,1
1643,568,1
529,251,5
1094,797,5
1154,116,4
778,842,5
755,567,5
1488,533,5
1131,895,5
570,582,2
779,167,5
1099,796,5
158,186,5
1220,923,3
882,494,5
1276,358,5
0,849,2
686,654,5
228,189,4
542,941,5
1447,878,5
223,529,5
1360,404,5
1582,768,5
1133,911,4
385,506,4
1601,916,3
89,792,2
263,536,5
887,440,5
1134,463,3
1244,196,4
176,622,4
1200,356,5
1553,343,4
907,92,4
1446,699,5
435,716,4
565,119,4
602,255,3
1111,529,5
1041,553,5
886,568,5
10,46,5
570,9,5
78,701,5
1543,890,5
351,952,4
360,822,1
315,761,5
788,297,4
1366,493,4
109,542,5
1214,467,5
753,577,5
1050,217,5
653,289,5
578,188,3
11,878,4
1184,444,5
1113,818,4
923,432,4
1000,94,4
118,369,4
542,906,4
924,167,1
1156,604,4
1100,343,2
1136,393,5
18,665,5
753,795,5
530,722,3
139,285,3
651,515,5
652,298,5
47,694,5
163,821,1
162,584,5
1356,194,5
1037,149,3
197,110,5
1247,776,5
1559,872,3
79,577,1
99,537,5
1633,28,5
676,905,4
1632,875,5
1116,477,1
1644,189,3
142,45,5
293,850,3
588,175,4
121,239,4
266,415,4
304,81,4
695,524,2
220,644,5
1499,858,5
371,233,5
251,933,4
1378,913,5
263,193,5
